RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
63050,Round,2.000,F,VS1,Excellent,Excellent,Very Good,None ,7.97-8.06x5.05,GIA,1139160305 L,35988.0000,63.0,58.00,37835619
63050,Round,2.000,I,SI2,Excellent,Excellent,Excellent,None ,8.07-8.09x4.94,GIA,2136184285 L,14596.0000,61.2,59.00,37645347
63050,Round,2.000,G,VVS1,Excellent,Excellent,Very Good,None ,7.99-8.09x4.99,GIA,2126982229 L,37038.0000,62.1,59.00,37047446
63050,Round,2.000,J,SI1,Excellent,Excellent,Excellent,None ,8.03-8.07x5.00,GIA,2136145944 L,14080.0000,62.1,56.00,37456795
63050,Round,2.000,I,SI1,Excellent,Excellent,Very Good,None ,8.04-8.09x4.96,GIA,5136180593 L,16696.0000,61.5,57.00,37645378
63050,Round,2.000,F,SI2,Excellent,Excellent,Excellent,None ,8.00-8.04x5.00,GIA,5136098299 L,17980.0000,62.4,58.00,37325412
63050,Round,2.000,L,VVS2,Excellent,Excellent,Very Good,None ,8.00-8.07x5.05,GIA,2126927785 L,12932.0000,62.9,56.00,37046559
63050,Round,2.000,H,VS2,Very Good,Excellent,Excellent,None ,7.83-7.91x5.07,GIA,2136111441 L,20044.0000,64.4,56.00,37431760
63050,Round,2.000,F,SI2,Very Good,Excellent,Very Good,None ,7.87-7.90x5.08,GIA,2126982193 L,16578.0000,64.3,56.00,37047995
63050,Round,2.000,G,VVS1,Very Good,Excellent,Very Good,None ,7.89-7.95x5.04,GIA,1139059266 L,34600.0000,63.7,57.00,37217427
